Block Type	96well																																																																																																																																																									
Chemistry	SYBR_GREEN																																																																																																																																																									
Experiment File Name	D:\Applied Biosystems\StepOne Software v2.3\experiments\Anqi\20250721AWdegs1degs2 GT.eds																																																																																																																																																									
Experiment Run End Time	2025-07-21 18:58:27 PM PDT																																																																																																																																																									
Instrument Type	steponeplus																																																																																																																																																									
Passive Reference																																																																																																																																																										
																																																																																																																																																										
Well	Well Location	Target	Reporter Dye	Zone	Reading 1	Reading 2	Reading 3	Reading 4	Reading 5	Reading 6	Reading 7	Reading 8	Reading 9	Reading 10	Reading 11	Reading 12	Reading 13	Reading 14	Reading 15	Reading 16	Reading 17	Reading 18	Reading 19	Reading 20	Reading 21	Reading 22	Reading 23	Reading 24	Reading 25	Reading 26	Reading 27	Reading 28	Reading 29	Reading 30	Reading 31	Reading 32	Reading 33	Reading 34	Reading 35	Reading 36	Reading 37	Reading 38	Reading 39	Reading 40	Reading 41	Reading 42	Reading 43	Reading 44	Reading 45	Reading 46	Reading 47	Reading 48	Reading 49	Reading 50	Reading 51	Reading 52	Reading 53	Reading 54	Reading 55	Reading 56	Reading 57	Reading 58	Reading 59	Reading 60	Reading 61	Reading 62	Reading 63	Reading 64	Reading 65	Reading 66	Reading 67	Reading 68	Reading 69	Reading 70	Reading 71	Reading 72	Reading 73	Reading 74	Reading 75	Reading 76	Reading 77	Reading 78	Reading 79	Reading 80	Reading 81	Reading 82	Reading 83	Reading 84	Reading 85	Reading 86	Reading 87	Reading 88	Reading 89	Reading 90	Reading 91	Reading 92	Reading 93	Reading 94	Reading 95	Reading 96	Reading 97	Reading 98	Reading 99	Reading 100	Reading 101	Reading 102	Reading 103	Reading 104	Reading 105	Reading 106	Reading 107	Reading 108	Reading 109	Reading 110	Reading 111	Reading 112	Reading 113	Reading 114	Reading 115	Reading 116	Reading 117	Reading 118	Reading 119	Reading 120	Reading 121	Reading 122	Reading 123	Reading 124	Reading 125	Reading 126	Reading 127	Reading 128	Reading 129	Reading 130	Reading 131	Reading 132	Reading 133	Reading 134	Reading 135	Reading 136	Reading 137	Reading 138	Reading 139	Reading 140	Reading 141	Reading 142	Reading 143	Reading 144	Reading 145	Reading 146	Reading 147	Reading 148	Reading 149	Reading 150
62	F2	degs2	SYBR		50.19710159	50.52830124	50.82300186	51.12250137	51.42910004	51.73120117	52.03559875	52.32289886	52.62060165	52.93700027	53.22480011	53.52220154	53.81919861	54.13130188	54.41690063	54.72460175	55.03850174	55.30979919	55.63650131	55.92160034	56.22230148	56.53450012	56.83100128	57.11180115	57.43360138	57.73680115	58.03099823	58.32419968	58.61600113	58.92419815	59.20949936	59.52709961	59.82770157	60.11149979	60.41989899	60.69829941	61.02809906	61.33089828	61.62620163	61.92050171	62.22769928	62.52149963	62.82730103	63.11869812	63.4239006	63.72259903	64.0279007	64.33159637	64.62290192	64.93389893	65.22949982	65.51540375	65.81629944	66.13240051	66.43090057	66.72920227	67.04000092	67.3302002	67.62870026	67.93969727	68.22319794	68.53220367	68.83010101	69.13500214	69.41439819	69.71929932	70.00879669	70.31330109	70.60230255	70.92520142	71.23239899	71.52459717	71.83409882	72.10430145	72.43289948	72.73739624	73.01860046	73.32209778	73.62390137	73.9240036	74.23390198	74.53230286	74.81529999	75.13030243	75.4292984	75.72260284	76.03009796	76.32649994	76.61569977	76.92680359	77.21230316	77.53399658	77.82510376	78.12989807	78.42019653	78.70899963	79.02249908	79.33110046	79.61959839	79.92140198	80.21600342	80.52459717	80.81860352	81.13569641	81.42919922	81.72579956	82.02909851	82.32309723	82.63410187	82.91850281	83.21399689	83.53179932	83.82710266	84.12840271	84.4260025	84.70619965	85.02189636	85.32969666	85.60919952	85.91699982	86.22280121	86.52709961	86.80699921	87.12809753	87.42769623	87.71499634	88.02670288	88.33390045	88.58930206	88.90920258	89.20179749	89.52829742	89.83409882	90.1160965	90.41790009	90.72799683	91.02380371	91.30039978	91.62850189	91.91680145	92.21569824	92.52980042	92.82260132	93.1072998	93.40670013	93.72859955	94.00839996	94.3219986	94.62249756	94.94580078
71	F11	degs1	SYBR		50.14550018	50.53099823	50.82089996	51.12459946	51.43379974	51.72980118	52.03710175	52.3227005	52.62279892	52.93730164	53.23070145	53.51459885	53.82189941	54.12979889	54.41419983	54.72280121	55.0428009	55.31219864	55.63230133	55.92459869	56.22399902	56.53630066	56.82460022	57.11149979	57.43450165	57.73350143	58.03419876	58.32839966	58.62310028	58.92699814	59.21549988	59.52799988	59.82759857	60.11180115	60.42229843	60.69309998	61.02299881	61.32979965	61.62409973	61.92449951	62.22790146	62.52669907	62.82830048	63.1189003	63.42369843	63.72579956	64.03220367	64.33709717	64.62239838	64.93039703	65.2303009	65.520401	65.8187027	66.13189697	66.436203	66.72940063	67.03610229	67.32409668	67.61799622	67.93810272	68.22599792	68.53250122	68.82859802	69.13770294	69.41549683	69.7161026	70.00969696	70.31020355	70.60389709	70.92610168	71.23619843	71.52580261	71.83879852	72.10199738	72.43119812	72.73470306	73.0318985	73.31780243	73.62799835	73.92720032	74.23239899	74.53320313	74.81469727	75.12950134	75.43379974	75.7263031	76.03289795	76.32559967	76.61509705	76.92099762	77.21199799	77.53540039	77.82640076	78.13469696	78.41929626	78.71009827	79.01760101	79.33390045	79.61640167	79.92040253	80.21669769	80.52279663	80.81539917	81.12180328	81.42960358	81.72290039	82.03559875	82.32440186	82.63359833	82.91609955	83.21209717	83.53230286	83.83360291	84.12650299	84.4260025	84.70200348	85.01570129	85.33110046	85.60919952	85.91690063	86.22160339	86.52529907	86.8042984	87.12640381	87.43470001	87.72589874	88.02899933	88.33249664	88.5868988	88.90850067	89.2009964	89.52880096	89.83129883	90.11840057	90.42099762	90.72859955	91.02510071	91.30339813	91.62770081	91.91999817	92.21649933	92.52909851	92.82389832	93.10630035	93.40769958	93.72660065	94.00969696	94.32559967	94.6207962	94.94229889
																																																																																																																																																										
																																																																																																																																																										
																																																																																																																																																										
																																																																																																																																																										
																																																																																																																																																										
																																																																																																																																																										
																																																																																																																																																										
																																																																																																																																																										
